facet,temperature_K,pressure_Pa,k_m3_s,impact_probability,density_m3,hazard_s
u100,730.9575,133.32236842105263,6.4466619728420755e-22,5.355760076982513e-05,1.3210754162893135e+22,8.516526649448831
u100,736.80625,133.32236842105263,6.822066110966931e-22,5.6450988508881836e-05,1.3105887519307769e+22,8.940923109961398
u100,742.655,133.32236842105263,7.213889830138374e-22,5.945771691125792e-05,1.300267262190783e+22,9.379984779179955
u100,748.50375,133.32236842105263,7.622595134190623e-22,6.258037210023914e-05,1.2901070750845216e+22,9.83396391312417
u100,754.3525,133.32236842105263,8.048648472264412e-22,6.58215448214071e-05,1.2801044387104119e+22,10.30311063496545
u100,760.20125,133.32236842105263,8.492520613453814e-22,6.918382956527856e-05,1.2702557166306895e+22,10.787672857843678
u100,766.05,133.32236842105263,8.95468652200447e-22,7.266982371097342e-05,1.2605573834636068e+22,11.28789621191478
u100,771.89875,133.32236842105263,9.435625233166721e-22,7.628212669103338e-05,1.2510060206760225e+22,11.804023975534166
u100,777.7475,133.32236842105263,9.935819729800413e-22,8.002333917746875e-05,1.241598312565834e+22,12.336297010478512
u100,783.5962499999999,133.32236842105263,1.0455756819822408e-21,8.389606228907281e-05,1.2323310424243302e+22,12.884953701107047
u100,789.4449999999999,133.32236842105263,1.0995927014581105e-21,8.790289682000026e-05,1.2232010888691371e+22,13.450229897361167
u100,795.29375,133.32236842105263,1.1556824408236995e-21,9.204644248957472e-05,1.2142054223389733e+22,14.032358861500756
u100,801.1424999999999,133.32236842105263,1.2138946558222189e-21,9.632929721325332e-05,1.2053411017419448e+22,14.631571218474122
u100,806.99125,133.32236842105263,1.27427943668472e-21,0.000100754056394652,1.1966052712495901e+22,15.248094909818942
u100,812.8399999999999,133.32236842105263,1.3368871964116837e-21,0.0001053233122384969,1.187995157229339e+22,15.882155150989885
u100,818.6887499999999,133.32236842105263,1.4017686591813741e-21,0.00011003965308435371,1.1795080653084532e+22,16.53397439201047
u100,824.5375,133.32236842105263,1.4689748488901795e-21,0.00011490566276095144,1.1711413775629317e+22,17.203772281345444
u100,830.38625,133.32236842105263,1.5385570778298133e-21,0.000119923919960903,1.162892549825212e+22,17.891765632891385
u100,836.235,133.32236842105263,1.6105669355057783e-21,0.00012509699763560235,1.154759109104852e+22,18.59816839598384
u100,842.08375,133.32236842105263,1.6850562776010776e-21,0.0001304274624100593,1.146738651116704e+22,19.323191628319943
u100,847.9325,133.32236842105263,1.7620772150887607e-21,0.00013591787401741733,1.1388288379113857e+22,20.067043471696643
u100,853.78125,133.32236842105263,1.841682103496546e-21,0.00014157078475288636,1.131027395603143e+22,20.829929130466166
u100,859.63,133.32236842105263,1.9239235323263767e-21,0.00014738873894680748,1.1233321121904725e+22,21.612050852611436
u100,865.47875,133.32236842105263,2.0088543146314202e-21,0.0001533742724565553,1.1157408354651062e+22,22.41360791334544
u100,871.3275,133.32236842105263,2.0965274767527258e-21,0.00015952991217697393,1.1082514710052144e+22,23.234796601140587
u100,877.17625,133.32236842105263,2.186996248217441e-21,0.0001658581755690331,1.1008619802488906e+22,24.075810206095465
u100,883.025,133.32236842105263,2.2803140518001814e-21,0.00017236157020638325,1.0935703786442012e+22,24.936839010548173
u100,888.87375,133.32236842105263,2.3765344937488887e-21,0.00017904259333948074,1.086374733872269e+22,25.818070281847167
u100,894.7225,133.32236842105263,2.475711354176256e-21,0.00018590373147695042,1.0792731641400502e+22,26.719688267192563
u100,900.57125,133.32236842105263,2.5778985776175497e-21,0.000192947459983847,1.0722638365396363e+22,27.64187419046265
u100,906.42,133.32236842105263,2.683150263755413e-21,0.00020017624269647177,1.0653449654710796e+22,28.584806250942286
u100,912.26875,133.32236842105263,2.791520658312055e-21,0.0002075925315534017,1.0585148111258835e+22,29.54865962387187
u100,918.1175,133.32236842105263,2.903064144108969e-21,0.0002151987662423812,1.0517716780284614e+22,30.533606462737495
u100,923.96625,133.32236842105263,3.0178352322942117e-21,0.00022299737386273063,1.0451139136329882e+22,31.539815903225215
u100,929.8149999999999,133.32236842105263,3.1358885537369846e-21,0.00023099076860291884,1.0385399069732107e+22,32.567454068763645
u100,935.6637499999999,133.32236842105263,3.2572788505892258e-21,0.0002391813514329549,1.0320480873628972e+22,33.61668407758227
u100,941.5124999999999,133.32236842105263,3.3820609680136226e-21,0.00024757150981124517,1.025636923144723e+22,34.68766605121355
u100,947.3612499999999,133.32236842105263,3.5102898460774126e-21,0.00025616361740557155,1.019304920485502e+22,35.78055712437003
u100,953.2099999999999,133.32236842105263,3.642020511811177e-21,0.0002649600338278445,1.013050622215772e+22,36.89551145612917
u100,959.0587499999999,133.32236842105263,3.7773080714316425e-21,0.00027396310438228423,1.0068726067118368e+22,38.03268024236039
u100,964.9074999999999,133.32236842105263,3.9162077027274816e-21,0.0002831751598266908,1.0007694868184731e+22,39.19221172933133
u100,970.7562499999999,133.32236842105263,4.0587746476069204e-21,0.0002925985161464635,9.947399088105752e+21,40.374251228431824
u100,976.605,133.32236842105263,4.2050642048059275e-21,0.00030223547434103497,9.887825513921143e+21,41.578941131956576
u100,982.45375,133.32236842105263,4.355131722755529e-21,0.0003120883202223838,9.828961247308546e+21,42.806420929888205
u100,988.3025,133.32236842105263,4.5090325926069385e-21,0.00032215932422530484,9.77079369527342e+21,44.056827227626236
u100,994.15125,133.32236842105263,4.666822241412837e-21,0.00033245074122910417,9.713310561167588e+21,45.330293764607106
u100,1000.0,133.32236842105263,4.828556125463303e-21,0.0003429648103904062,9.656499836022958e+21,46.626951433764035
110,298.15,133.32236842105263,9.119966419590963e-26,1.1642510322882079e-08,3.2388059151510847e+22,0.002953780118575047
110,303.99875,133.32236842105263,1.2442574281877516e-25,1.5718375631057078e-08,3.1764932704568556e+22,0.003952375347354348
110,309.84749999999997,133.32236842105263,1.6792993755488572e-25,2.0996959003160465e-08,3.1165330803130443e+22,0.005233592055647052
110,315.69624999999996,133.32236842105263,2.2433692395606586e-25,2.7767927323269943e-08,3.0587945963954146e+22,0.006862005707687833
110,321.54499999999996,133.32236842105263,2.9679993940392916e-25,3.6374869925476385e-08,3.0031565833780526e+22,0.00891336691967117
110,327.39374999999995,133.32236842105263,3.890776986154292e-25,4.722223331496609e-08,2.9495064692050356e+22,0.011475871890896156
110,333.24249999999995,133.32236842105263,5.056177036371203e-25,6.078268161468696e-08,2.897739584843758e+22,0.014651484346270834
110,339.09124999999995,133.32236842105263,6.516459087552194e-25,7.760485822240207e-08,2.8477584827160715e+22,0.018557301643848993
110,344.94,133.32236842105263,8.332626480177886e-25,9.83215201267794e-08,2.7994723244688812e+22,0.023326957221394537
110,350.78875,133.32236842105263,1.0575446823031547e-24,1.2365801277012185e-07,2.752796329991472e+22,0.029112051202461214
110,356.6375,133.32236842105263,1.332653174748437e-24,1.544410502895214e-07,2.707651280648546e+22,0.036083600752679565
110,362.48625,133.32236842105263,1.667947358437057e-24,1.9160776343427505e-07,2.6639630706055632e+22,0.04443350166590421
110,368.335,133.32236842105263,2.0741036189877896e-24,2.3621497544985522e-07,2.621662300900799e+22,0.05437599266062203
110,374.18375,133.32236842105263,2.5632396774355007e-24,2.894486647313082e-07,2.5806839115870106e+22,0.06614911397099275
110,380.03249999999997,133.32236842105263,3.149043525789765e-24,3.5263357206636227e-07,2.540966847841424e+22,0.08001615201441463
110,385.88124999999997,133.32236842105263,3.8469067390504056e-24,4.27242909787663e-07,2.502453756440086e+22,0.09626706219811369
110,391.72999999999996,133.32236842105263,4.6740617633125426e-24,5.149081301053919e-07,2.4650907094230615e+22,0.11521986228011322
110,397.57874999999996,133.32236842105263,5.649722759894001e-24,6.174287102622149e-07,2.428826952150476e+22,0.1372219891140852
110,403.4275,133.32236842105263,6.795229570085209e-24,7.367819129049548e-07,2.393614673274122e+22,0.1626516120722216
110,409.27625,133.32236842105263,8.134194354018363e-24,8.75132481162195e-07,2.359408794432357e+22,0.1919188969449295
110,415.125,133.32236842105263,9.692650450095552e-24,1.0348422293139267e-06,2.3261667777230854e+22,0.22546721465094985
110,420.97375,133.32236842105263,1.1499202998181224e-23,1.2184794915975293e-06,2.2938484492258626e+22,0.2637742896471139
110,426.8225,133.32236842105263,1.3585180870102697e-23,1.4288283935739827e-06,2.262415837033652e+22,0.3073532834948695
110,432.67125,133.32236842105263,1.5984789454640487e-23,1.6688979125403277e-06,2.231833022421286e+22,0.35675380961318176
110,438.52,133.32236842105263,1.8735263850839326e-23,1.941930695681816e-06,2.2020660029241445e+22,0.4125628758174697
110,444.36875,133.32236842105263,2.1877022032839218e-23,2.2514116069751714e-06,2.173082566229727e+22,0.4754057518058653
110,450.2175,133.32236842105263,2.5453817561212485e-23,2.6010759762500014e-06,2.144852173898829e+22,0.5459467593019078
110,456.06624999999997,133.32236842105263,2.9512891429705955e-23,2.994917526258931e-06,2.1173458540339172e+22,0.6248899830924103
110,461.91499999999996,133.32236842105263,3.410512265203649e-23,3.4371959560710403e-06,2.0905361021016765e+22,0.7129799017068795
110,467.76374999999996,133.32236842105263,3.928517721069371e-23,3.932444161563088e-06,2.0643967891960333e+22,0.8110019369675326
110,473.61249999999995,133.32236842105263,4.5111655008301816e-23,4.485475076217305e-06,2.0389030770984635e+22,0.9197829220943089
110,479.46124999999995,133.32236842105263,5.1647234481725137e-23,5.1013881178236955e-06,2.0140313395551692e+22,1.0401914884754881
110,485.30999999999995,133.32236842105263,5.895881455953682e-23,5.785575229012669e-06,1.989759089246659e+22,1.1731383716104662
110,491.15874999999994,133.32236842105263,6.711765366448687e-23,6.54372650179662e-06,1.9660649099752286e+22,1.3195766370961797
110,497.00749999999994,133.32236842105263,7.619950548399355e-23,7.3818353784640745e-06,1.9429283936405306e+22,1.480501827862184
110,502.85624999999993,133.32236842105263,8.628475125326949e-23,8.306203423239528e-06,1.9203300816133758e+22,1.6569520341618083
110,508.705,133.32236842105263,9.745852831729707e-23,9.32344466108653e-06,1.898251410153814e+22,1.8500078880982458
110,514.55375,133.32236842105263,1.098108547593488e-22,1.0440489481887165e-05,1.876674659551691e+22,2.060792484705811
