species,temperature_K,partial_pressure_Pa,Cp_J_mol_K,H_minus_H298_kJ_mol,S_standard_J_mol_K,pressure_correction_eV,mu_minus_H298_eV,mu_element_enthalpy_reference_eV,source,qualified_for_surface_rate
HF,600.0,133.32236842105263,29.231335650666665,8.803543605599998,194.17389310149997,-0.34228851439131386,-1.4585285675183157,-4.283270878107878,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
HF,600.0,100000.0,29.231335650666665,8.803543605599998,194.17389310149997,0.0,-1.1162400531270018,-3.9409823637165635,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7664393&Mask=35,False
SiF4,300.0,1.0,73.8162049411111,0.1311463039166938,283.2103330876897,-0.29763214666165855,-1.1768533894716375,-17.91452702815567,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,300.0,133.32236842105263,73.8162049411111,0.1311463039166938,283.2103330876897,-0.17114425719565693,-1.0503655000056358,-17.788039138689673,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,300.0,100000.0,73.8162049411111,0.1311463039166938,283.2103330876897,0.0,-0.8792212428099789,-17.616894881494016,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,400.0,1.0,83.14993856000001,8.01043972266666,305.81338878632425,-0.39684286221554477,-1.5816334752153165,-18.319307113899352,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,400.0,133.32236842105263,83.14993856000001,8.01043972266666,305.81338878632425,-0.22819234292754254,-1.4129829559273144,-18.150656594611352,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,400.0,100000.0,83.14993856000001,8.01043972266666,305.81338878632425,0.0,-1.1847906129997718,-17.92246425168381,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,450.0,1.0,86.65059517007717,12.258054735106043,315.81528223221926,-0.4464482199924878,-1.7923400712370963,-18.530013709921132,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,450.0,133.32236842105263,86.65059517007717,12.258054735106043,315.81528223221926,-0.2567163857934853,-1.602608237038094,-18.34028187572213,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,450.0,100000.0,86.65059517007717,12.258054735106043,315.81528223221926,0.0,-1.3458918512446085,-18.083565489928645,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,500.0,1.0,89.58442624999999,16.666074114583353,325.1011923797835,-0.49605357776943093,-2.008040103232859,-18.745713741916894,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,500.0,133.32236842105263,89.58442624999999,16.666074114583353,325.1011923797835,-0.28524042865942817,-1.7972269541228565,-18.534900592806892,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,500.0,100000.0,89.58442624999999,16.666074114583353,325.1011923797835,0.0,-1.5119865254634282,-18.249660164147464,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,600.0,1.0,94.10545241777777,25.86393832933345,341.85836172790624,-0.5952642933233171,-2.4530708092227926,-19.190744447906827,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
SiF4,600.0,133.32236842105263,94.10545241777777,25.86393832933345,341.85836172790624,-0.34228851439131386,-2.200095030290789,-18.937768668974822,https://webbook.nist.gov/cgi/cbook.cgi?ID=C7783611&Mask=3FB7&Units=SI,False
