optimization_step,energy_eV,energy_relative_to_start_eV
71,-234.26240425084222,-0.23196519490664969
72,-234.26242019154517,-0.2319811356096011
73,-234.26243910281028,-0.23200004687470255
74,-234.26245984305234,-0.23202078711676677
75,-234.26248183637068,-0.2320427804351084
76,-234.26250525563688,-0.2320661997013076
77,-234.2625337805972,-0.2320947246616356
78,-234.26256999336385,-0.2321309374282805
79,-234.2626170724002,-0.23217801646461567
80,-234.26267776981297,-0.23223871387739337
81,-234.2627533254555,-0.23231426951991807
82,-234.26284382115773,-0.23240476522215658
83,-234.26295133089025,-0.2325122749546722
84,-234.2630829348647,-0.23264387892913874
85,-234.26324674632588,-0.23280769039030247
86,-234.2634446437841,-0.2330055878485382
87,-234.26367945490176,-0.23324039896618842
88,-234.26396584750648,-0.2335267915709096
89,-234.26431032766072,-0.23387127172514965
90,-234.26472073497422,-0.23428167903864505
91,-234.26521714716813,-0.2347780912325561
92,-234.2658091420708,-0.23537008613521948
93,-234.26652161981787,-0.23608256388229165
94,-234.26737936244888,-0.23694030651330422
95,-234.26840984000273,-0.23797078406715855
96,-234.2696421055653,-0.2392030496297366
97,-234.27105385218937,-0.24061479625379434
98,-234.2721511096708,-0.24171205373522753
99,-234.26828544453008,-0.23784638859450524
100,-234.27432456001117,-0.2438855040755925
101,-234.27448640082008,-0.24404734488450686
102,-234.27464326909285,-0.2442042131572748
103,-234.2746536738968,-0.24421461796123367
104,-234.27466182257967,-0.24422276664409992
105,-234.2746765035214,-0.24423744758581734
106,-234.27469498577085,-0.24425592983527622
107,-234.27471431587588,-0.2442752599403093
108,-234.27473238922818,-0.24429333329260317
109,-234.2747488570933,-0.24430980115772627
110,-234.27476526033206,-0.24432620439648645
111,-234.27478626188878,-0.24434720595320414
112,-234.27481575848543,-0.24437670254985733
113,-234.27485679270023,-0.24441773676466028
114,-234.2749095200308,-0.24447046409522954
115,-234.2749711164696,-0.2445320605340271
116,-234.27504071504126,-0.2446016591056832
117,-234.27512582111245,-0.24468676517687982
118,-234.27523676955434,-0.244797713618766
119,-234.27537277795392,-0.24493372201834518
120,-234.2755305029583,-0.24509144702273034
121,-234.27572700865306,-0.24528795271749004
122,-234.2759679522859,-0.24552889635032216
123,-234.27625247642948,-0.24581342049390287
124,-234.2766044836381,-0.2461654277025218
125,-234.27702054042948,-0.24658148449390183
126,-234.2775250929525,-0.24708603701691345
127,-234.27812965832356,-0.24769060238799057
128,-234.27884906656527,-0.2484100106296978
129,-234.27968850624364,-0.24924945030807066
130,-234.28053916475181,-0.2501001088162411
131,-234.28067382424427,-0.25023476830870095
132,-234.28183147700753,-0.25139242107195514
133,-234.28183878668284,-0.2513997307472664
134,-234.2818528525595,-0.2514137966239218
135,-234.28187313555043,-0.2514340796148531
136,-234.281899674265,-0.2514606183294177
137,-234.28193297436928,-0.2514939184337095
138,-234.28197332443892,-0.2515342685033488
139,-234.2820204277224,-0.2515813717868127
140,-234.28207989859112,-0.2516408426555472
141,-234.28215468995245,-0.25171563401687536
142,-234.28224893863353,-0.25180988269795535
143,-234.28236670327163,-0.25192764733606055
144,-234.28251269260937,-0.25207363667379923
145,-234.2826938990035,-0.2522548430679308
146,-234.28291723272088,-0.2524781767853028
147,-234.2831922803967,-0.2527532244611166
148,-234.28352934818145,-0.2530902922458722
149,-234.28394192356603,-0.25350286763045915
150,-234.28444546181078,-0.2540064058752023
