optimization_step,energy_eV,energy_relative_to_start_eV
114,-289.4514114802688,-4.827783236703908
115,-289.4532354632088,-4.82960721964389
116,-289.45537025338126,-4.831742009816367
117,-289.4576912459144,-4.834063002349524
118,-289.46030765122475,-4.836679407659858
119,-289.4630316066388,-4.839403363073927
120,-289.4659322684736,-4.842304024908685
121,-289.4687929792849,-4.8451647357200045
122,-289.47152614414006,-4.847897900575163
123,-289.4740703961054,-4.850442152540495
124,-289.4763397077884,-4.852711464223489
125,-289.4771433208099,-4.853515077244992
126,-289.47993116534695,-4.85630292178206
127,-289.47832892842564,-4.854700684860745
128,-289.479159442982,-4.855531199417101
129,-289.480135086871,-4.856506843306079
130,-289.4804805881057,-4.856852344540812
131,-289.4804920293768,-4.856863785811925
132,-289.4805141789594,-4.85688593539453
133,-289.4805457481885,-4.8569175046235955
134,-289.4805852207818,-4.856956977216896
135,-289.4806312611819,-4.857003017616989
136,-289.48068308815783,-4.857054844592938
137,-289.48074067432935,-4.8571124307644595
138,-289.4808118608205,-4.8571836172556
139,-289.48090104165163,-4.85727279808674
140,-289.4810137260144,-4.8573854824495015
141,-289.48115548008644,-4.857527236521548
142,-289.4813305139587,-4.8577022703938155
143,-289.4815415282437,-4.85791328467883
144,-289.481792656983,-4.858164413418081
145,-289.48209334012074,-4.858465096555847
146,-289.48245520441645,-4.858826960851559
147,-289.4828823616896,-4.8592541181246816
148,-289.4833755447262,-4.859747301161292
149,-289.483946984157,-4.860318740592106
150,-289.4845994900488,-4.860971246483928
151,-289.4853281510543,-4.861699907489424
152,-289.4861404049178,-4.8625121613529245
153,-289.48702668755277,-4.863398443987876
154,-289.487992941198,-4.864364697633107
155,-289.48904837586605,-4.8654201323011534
156,-289.49021758636695,-4.866589342802058
