material,n_si_ratio,hydrogen_atomic_fraction,energy_ev,epc_nm,data_origin
SiN1.0_hypothesis,1.0,0.0,4.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,5.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,6.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,7.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,8.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,9.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,10.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,11.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,12.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,13.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,14.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,15.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,16.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,17.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,18.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,19.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,20.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,21.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,22.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,23.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,24.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,25.0,0.0,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,26.0,0.008640725950777348,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,27.0,0.01613526780472399,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,28.0,0.022684603198157113,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,29.0,0.028446515356509938,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,30.0,0.03354635032363898,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,31.0,0.038084783719413345,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,32.0,0.042143502517524245,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,33.0,0.045789413595000855,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,34.0,0.049077797987558625,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,35.0,0.05205470146760385,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,36.0,0.05475876554446901,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,37.0,0.057222643919968785,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,38.0,0.0594741086229158,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,39.0,0.061536921527041905,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,40.0,0.0634315268075191,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,41.0,0.06517560550573842,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,42.0,0.06678452299796256,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,43.0,0.06827169261003851,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,44.0,0.06964887306975265,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,45.0,0.07092641337339939,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,46.0,0.07211345556649584,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,47.0,0.07321810361955816,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,48.0,0.07424756481826267,hypothetical_sensitivity_scenarios_not_material_calibration
SiN1.0_hypothesis,1.0,0.0,49.0,0.07609871091099052,hypothetical_sensitivity_scenarios_not_material_calibration
