optimization_step,energy_eV,energy_relative_to_start_eV
59,-235.5190367762561,-1.1491682538461419
60,-235.53287643475085,-1.1630079123409018
61,-235.5493545960082,-1.179486073598241
62,-235.5683170526844,-1.1984485302744474
63,-235.58426634654728,-1.214397824137336
64,-235.59667400138943,-1.226805478979486
65,-235.60813277402974,-1.2382642516197961
66,-235.61910314896545,-1.2492346265555057
67,-235.62989750793588,-1.2600289855259348
68,-235.64116986004598,-1.2713013376360323
69,-235.6632160595941,-1.293347537184161
70,-235.68737175475997,-1.3175032323500204
71,-235.72517740096163,-1.355308878551682
72,-235.75692008139214,-1.3870515589821935
73,-235.79178597433645,-1.4219174519265039
74,-235.815646511005,-1.4457779885950686
75,-235.84568396451107,-1.4758154421011227
76,-235.87360178336047,-1.5037332609505256
77,-235.92080659931696,-1.5509380769070162
78,-235.97501036583714,-1.605141843427191
79,-236.01526620478637,-1.6453976823764265
80,-236.0515715228973,-1.681703000487346
81,-236.07968596756604,-1.7098174451560908
82,-236.0980980386936,-1.7282295162836476
83,-236.0939940554278,-1.7241255330178547
84,-236.13799307236832,-1.7681245499583724
85,-236.15121059774702,-1.7813420753370792
86,-236.16131164158196,-1.7914431191720155
87,-236.17100165996447,-1.8011331375545296
88,-236.1776609313614,-1.8077924089514568
89,-236.18598932205765,-1.816120799647706
90,-236.19129263262607,-1.8214241102161282
91,-236.19566773961327,-1.8257992172033255
92,-236.19893746515453,-1.829068942744584
93,-236.20191478787746,-1.8320462654675111
94,-236.20452367767416,-1.8346551552642154
95,-236.20681089200127,-1.836942369591327
96,-236.20861945878835,-1.8387509363784034
97,-236.20994614095605,-1.840077618546104
98,-236.21089409969068,-1.8410255772807318
99,-236.21165848406673,-1.8417899616567865
100,-236.21231022384046,-1.8424417014305163
101,-236.21283820649944,-1.8429696840894962
102,-236.21325929603205,-1.8433907736221045
103,-236.21362272617466,-1.8437542037647177
104,-236.21396224355874,-1.8440937211487949
105,-236.21433093115422,-1.8444624087442776
106,-236.21474475411935,-1.8448762317094065
107,-236.2153475227217,-1.845479000311741
108,-236.21608809025332,-1.8462195678433773
109,-236.21714490805522,-1.847276385645273
110,-236.21821581940895,-1.848347296999009
111,-236.21922560443335,-1.8493570820234027
112,-236.22010504168026,-1.850236519270311
113,-236.2210395306762,-1.851171008266249
114,-236.22208659821968,-1.8522180758097306
115,-236.22326228265428,-1.8533937602443302
116,-236.2244841344617,-1.8546156120517594
117,-236.22571686824227,-1.855848345832328
118,-236.22698151465727,-1.8571129922473233
119,-236.22832485297943,-1.8584563305694815
120,-236.22973275568972,-1.8598642332797795
121,-236.23117209811699,-1.8613035757070406
122,-236.23262280182718,-1.8627542794172314
123,-236.23401433740156,-1.8641458149916161
124,-236.23519354984478,-1.8653250274348352
125,-236.23603880454016,-1.8661702821302129
126,-236.23670981743874,-1.8668412950287916
127,-236.23739876900953,-1.8675302465995856
128,-236.23828523996383,-1.8684167175538846
129,-236.23903403252962,-1.8691655101196716
130,-236.2394361815593,-1.869567659149368
131,-236.23967980855178,-1.8698112861418394
132,-236.2399007854679,-1.8700322630579649
133,-236.2401977645644,-1.8703292421544688
134,-236.24058235982278,-1.8707138374128363
135,-236.24100244890786,-1.8711339264979188
136,-236.24137822740187,-1.8715097049919223
137,-236.24167426737813,-1.871805744968185
138,-236.24198233387352,-1.8721138114635778
139,-236.24232546461712,-1.8724569422071795
140,-236.24271024307092,-1.872841720660972
141,-236.2430582042171,-1.8731896818071618
142,-236.24344725613412,-1.8735787337241732
143,-236.24386002925144,-1.8739915068414916
144,-236.24435146752478,-1.8744829451148348
145,-236.24483856515565,-1.8749700427457014
146,-236.24544452138377,-1.8755759989738294
147,-236.24624344659514,-1.8763749241851997
148,-236.24768595246547,-1.8778174300555293
149,-236.2486623446461,-1.8787938222361618
150,-236.24946666739788,-1.8795981449879378
151,-236.25071158141958,-1.880843059009635
