backend,sites,seed,net_removed_nm
cpp,2048,48,0.43535937500000005
cpp,2048,49,0.43715234375
cpp,2048,50,0.43170703125000004
cpp,2048,51,0.43974218750000005
cpp,2048,52,0.43164062500000006
cpp,2048,53,0.43031250000000004
cpp,2048,54,0.43582421875000005
cpp,2048,55,0.4357578125
cpp,2048,56,0.43887890625000003
cpp,2048,57,0.43336718750000003
cpp,2048,58,0.4345625
cpp,2048,59,0.44126953125
cpp,2048,60,0.438015625
cpp,2048,61,0.43423046875000004
cpp,2048,62,0.43841406250000003
cpp,2048,63,0.43947656250000006
cpp,2048,64,0.43608984375000004
cpp,2048,65,0.43535937500000005
cpp,2048,66,0.434296875
cpp,2048,67,0.43442968750000005
cpp,2048,68,0.44193359375
cpp,2048,69,0.4352265625
cpp,2048,70,0.43794921875000004
cpp,2048,71,0.43356640625000004
cpp,2048,72,0.44033984375
cpp,2048,73,0.43416406250000006
cpp,2048,74,0.43296875
cpp,2048,75,0.43263671875000004
cpp,2048,76,0.43781640625
cpp,2048,77,0.4373515625
cpp,2048,78,0.43954296875000004
cpp,2048,79,0.43954296875000004
cpp,2048,80,0.43449609375000003
cpp,2048,81,0.432703125
cpp,2048,82,0.43257031250000005
cpp,2048,83,0.43615625
cpp,2048,84,0.44186718750000004
cpp,2048,85,0.43755078125
cpp,2048,86,0.43682031250000003
cpp,2048,87,0.43409765625
cpp,2048,88,0.43775000000000003
cpp,2048,89,0.43502734375
cpp,2048,90,0.431375
cpp,2048,91,0.4304453125
cpp,2048,92,0.43223828125
cpp,2048,93,0.44060546875
cpp,2048,94,0.43555859375000006
cpp,2048,95,0.44020703125000005
cpp,2048,96,0.43927734375000005
cpp,2048,97,0.43794921875000004
cpp,2048,98,0.43436328125
cpp,2048,99,0.432703125
cpp,2048,100,0.43257031250000005
cpp,2048,101,0.4304453125
cpp,2048,102,0.43416406250000006
cpp,2048,103,0.43051171875000005
cpp,2048,104,0.44027343750000003
cpp,2048,105,0.4389453125
cpp,2048,106,0.4386796875
cpp,2048,107,0.43788281250000005
cpp,2048,108,0.4299140625
cpp,2048,109,0.43290234375000003
cpp,2048,110,0.44060546875
cpp,2048,111,0.43150781250000003
cpp,2048,112,0.44153515625
cpp,2048,113,0.43516015625000004
cpp,2048,114,0.43569140625
cpp,2048,115,0.4366875
cpp,2048,116,0.43290234375000003
cpp,2048,117,0.43974218750000005
cpp,2048,118,0.4304453125
cpp,2048,119,0.4366875
cpp,2048,120,0.43469531250000004
cpp,2048,121,0.42944921875000003
cpp,2048,122,0.43555859375000006
cpp,2048,123,0.43834765625000005
cpp,2048,124,0.4370859375
