optimization_step,energy_eV,energy_relative_to_start_eV
86,-219.72295869401404,-0.016788584348745417
87,-219.7229877283005,-0.01681761863520137
88,-219.72302726078487,-0.01685715111958075
89,-219.72307916749645,-0.016909057831156815
90,-219.72313884687904,-0.01696873721374459
91,-219.723209355471,-0.01703924580570515
92,-219.7232974230239,-0.01712731335859985
93,-219.7234134996615,-0.0172433899961959
94,-219.72355632330158,-0.017386213636285675
95,-219.72373067392746,-0.01756056426216901
96,-219.72395336118097,-0.01778325151568083
97,-219.72422297047942,-0.01805286081412305
98,-219.72456251111083,-0.018392401445538553
99,-219.72497596452754,-0.018805854862250726
100,-219.7254865796607,-0.019316469995402485
101,-219.72611401319173,-0.019943903526439044
102,-219.7268778815733,-0.020707771908007544
103,-219.72777435012054,-0.02160424045524678
104,-219.72848502373583,-0.02231491407053454
105,-219.7289491385617,-0.022779028896394493
106,-219.72866790613463,-0.022497796469338027
107,-219.72883440589504,-0.02266429622974897
108,-219.7290146343563,-0.022844524691009838
109,-219.7290560300068,-0.02288592034150838
110,-219.7290598489839,-0.022889739318600277
111,-219.7290670181182,-0.022896908452906928
112,-219.72907672193872,-0.022906612273430937
113,-219.72908802303698,-0.022917913371685472
114,-219.7291001435436,-0.022930033878310496
115,-219.72911272582445,-0.02294261615915616
116,-219.7291259576452,-0.022955847979915234
117,-219.72914209722524,-0.022971987559941454
118,-219.72916285134667,-0.022992741681377993
119,-219.72919024269623,-0.02302013303093986
120,-219.72922587239927,-0.023055762733974916
121,-219.7292702512898,-0.023100141624496473
122,-219.7293232932731,-0.023153183607803385
123,-219.72938669651197,-0.02321658684667227
124,-219.7294656010254,-0.023295491360102005
125,-219.72956517366956,-0.023395064004262167
126,-219.7296863542726,-0.0235162446072934
127,-219.72983234649806,-0.02366223683276303
128,-219.73001402455975,-0.023843914894456475
129,-219.73023537101477,-0.024065261349477396
130,-219.73050470726358,-0.02433459759828338
131,-219.73083560418604,-0.024665494520746734
132,-219.73123773629197,-0.025067626626679385
133,-219.73172779051785,-0.025557680852557496
134,-219.7323263605841,-0.02615625091880247
135,-219.73305538049345,-0.026885270828159946
136,-219.73394541107444,-0.027775301409150188
137,-219.73503365621534,-0.028863546550041974
138,-219.7363653064856,-0.030195196820301362
139,-219.73793621443068,-0.03176610476538144
140,-219.73763544325544,-0.03146533359014825
141,-219.7392089191658,-0.033038809500510524
142,-219.73969796563787,-0.033527855972579346
143,-219.74003671053543,-0.03386660087014093
144,-219.73985030060274,-0.033680190937445786
145,-219.73989794839926,-0.033727838733966564
146,-219.73997629364678,-0.03380618398148272
147,-219.74005816079017,-0.03388805112487603
148,-219.74011708304096,-0.03394697337566299
149,-219.7401395010081,-0.03396939134279364
