temperature_K,time_s,species,phase,mean_count,fraction_per_initial_motif
325.0,0.1,pre_SiH2F_residual,surface,0.078125,7.8125e-05
325.0,0.1,pre_SiHF2,surface,95.2578125,0.0952578125
325.0,0.1,pre_SiHF2_HF,surface,4.7421875,0.0047421875
325.0,0.1,pre_SiHF2_residual,surface,0.0,0.0
325.0,0.1,Si_Si_F1,surface,94.984375,0.094984375
325.0,0.1,Si_Si_F1_HF,surface,4.8125,0.0048125
325.0,0.1,Si_Si_cleaved_F2_H,surface,0.203125,0.000203125
325.0,0.1,HF,reservoir_net,-220.28125,-0.22028125
325.0,0.1,H2,gas_product,0.0,0.0
325.0,0.1,NH3,gas_product,62.609375,0.062609375
325.0,0.1,SiF4,gas_product,0.0,0.0
325.0,0.1,SiH2F2,gas_product,0.078125,7.8125e-05
325.0,0.1,SiHF3,gas_product,0.0,0.0
325.0,0.15000000000000002,bridge_NH_F0,surface,139.7890625,0.1397890625
325.0,0.15000000000000002,bridge_NH_F1,surface,152.8671875,0.1528671875
325.0,0.15000000000000002,bridge_NH_F2,surface,0.1953125,0.0001953125
325.0,0.15000000000000002,bridge_NH_F3,surface,0.0,0.0
325.0,0.15000000000000002,bridge_NH_residual,surface,0.0,0.0
325.0,0.15000000000000002,bridge_NH_F0_HF,surface,0.0,0.0
325.0,0.15000000000000002,bridge_NH_F1_HF,surface,7.140625,0.007140625
325.0,0.15000000000000002,bridge_NH_F2_HF,surface,0.0078125,7.8125e-06
325.0,0.15000000000000002,bridge_NH_F3_HF,surface,0.0,0.0
325.0,0.15000000000000002,terminal_NH2_F0,surface,70.3828125,0.0703828125
325.0,0.15000000000000002,terminal_NH2_F1,surface,70.328125,0.070328125
325.0,0.15000000000000002,terminal_NH2_F2,surface,6.265625,0.006265625
325.0,0.15000000000000002,terminal_NH2_F3,surface,0.0,0.0
325.0,0.15000000000000002,terminal_NH2_residual,surface,0.0,0.0
325.0,0.15000000000000002,terminal_NH2_F0_HF,surface,0.0,0.0
325.0,0.15000000000000002,terminal_NH2_F1_HF,surface,2.6875,0.0026875
325.0,0.15000000000000002,terminal_NH2_F2_HF,surface,0.3359375,0.0003359375
325.0,0.15000000000000002,terminal_NH2_F3_HF,surface,0.0,0.0
325.0,0.15000000000000002,Si_H_rich_F0,surface,95.421875,0.095421875
325.0,0.15000000000000002,Si_H_rich_F1,surface,0.0,0.0
325.0,0.15000000000000002,Si_H_rich_F2,surface,0.0,0.0
325.0,0.15000000000000002,Si_H_rich_F3,surface,0.0,0.0
325.0,0.15000000000000002,Si_H_rich_residual,surface,0.0,0.0
325.0,0.15000000000000002,Si_H_rich_F0_HF,surface,4.578125,0.004578125
325.0,0.15000000000000002,Si_H_rich_F1_HF,surface,0.0,0.0
325.0,0.15000000000000002,Si_H_rich_F2_HF,surface,0.0,0.0
325.0,0.15000000000000002,Si_H_rich_F3_HF,surface,0.0,0.0
325.0,0.15000000000000002,bridge_N_F0,surface,137.2109375,0.1372109375
325.0,0.15000000000000002,bridge_N_F1,surface,6.3828125,0.0063828125
325.0,0.15000000000000002,bridge_N_F2,surface,0.046875,4.6875e-05
325.0,0.15000000000000002,bridge_N_F3,surface,0.0,0.0
325.0,0.15000000000000002,bridge_N_residual,surface,0.0,0.0
325.0,0.15000000000000002,bridge_N_F0_HF,surface,6.078125,0.006078125
325.0,0.15000000000000002,bridge_N_F1_HF,surface,0.265625,0.000265625
325.0,0.15000000000000002,bridge_N_F2_HF,surface,0.015625,1.5625e-05
325.0,0.15000000000000002,bridge_N_F3_HF,surface,0.0,0.0
325.0,0.15000000000000002,pre_SiH2F,surface,94.8203125,0.0948203125
325.0,0.15000000000000002,pre_SiH2F_HF,surface,5.0390625,0.0050390625
325.0,0.15000000000000002,pre_SiH2F_residual,surface,0.140625,0.000140625
325.0,0.15000000000000002,pre_SiHF2,surface,95.71875,0.09571875
325.0,0.15000000000000002,pre_SiHF2_HF,surface,4.28125,0.00428125
325.0,0.15000000000000002,pre_SiHF2_residual,surface,0.0,0.0
325.0,0.15000000000000002,Si_Si_F1,surface,94.6640625,0.0946640625
325.0,0.15000000000000002,Si_Si_F1_HF,surface,4.9765625,0.0049765625
325.0,0.15000000000000002,Si_Si_cleaved_F2_H,surface,0.359375,0.000359375
325.0,0.15000000000000002,HF,reservoir_net,-289.3125,-0.2893125
325.0,0.15000000000000002,H2,gas_product,0.0,0.0
